"","rk","player_name","pos","age","tm","g","gs","mp","fg","fga","fg_2","x3p","x3pa","x3p_2","x2p","x2pa","x2p_2","ft","fta","ft_2","orb","drb","trb","ast","stl","blk","tov","pf","pts"
"45",37,"Keita Bates-Diop","SF",26,"SAS",59,14,956,5.1,9.9,0.517,0.6,2.1,0.309,4.5,7.8,0.572,1.7,2.3,0.754,2.3,6.4,8.7,1.5,1,0.5,1.7,2.3,12.6
"46",38,"Nicolas Batum","PF",33,"LAC",59,54,1462,4.4,9.5,0.463,2.7,6.6,0.4,1.7,2.9,0.607,0.6,0.9,0.658,0.7,5.5,6.3,2.5,1.4,1,1,2,12.1
"47",39,"Kent Bazemore","SF",32,"LAL",39,14,545,3,9.2,0.324,1.9,5.3,0.363,1.1,3.9,0.271,0.9,1.1,0.765,0.9,3.7,4.6,2.2,1.7,0.6,1.4,4.6,8.7
"48",40,"Darius Bazley","PF",21,"OKC",69,53,1924,5.1,12.1,0.422,1.5,5,0.297,3.6,7.1,0.511,2.2,3.2,0.688,1.3,6.8,8.2,1.8,1.1,1.3,1.7,1.3,13.9
"49",41,"Bradley Beal","SG",28,"WAS",40,40,1439,8.7,19.3,0.451,1.6,5.3,0.3,7.1,14,0.508,4.2,5.1,0.833,1,3.8,4.7,6.6,0.9,0.4,3.4,2.4,23.2
"50",42,"Malik Beasley","SG",25,"MIN",79,18,1976,6,15.5,0.391,4.4,11.6,0.377,1.7,3.9,0.432,0.9,1.1,0.817,0.5,3.7,4.1,2.1,0.8,0.2,0.8,1.6,17.4
"51",43,"Jordan Bell","C",27,"CHI",1,0,2,0,0,NA,0,0,NA,0,0,NA,0,0,NA,18,0,18,0,18,0,0,36,0
"52",44,"DeAndre Bembry","SF",27,"BRK",48,20,949,4.6,8.1,0.568,0.6,1.4,0.417,4,6.7,0.599,0.8,1.3,0.6,1.4,4.3,5.8,2.3,1.8,0.9,1.1,3.9,10.5
"53",44,"DeAndre Bembry","PG",24,"SAC",59,59,2083,8.9,18.9,0.473,1.3,4.3,0.297,7.6,14.6,0.524,4.5,6,0.75,0.4,3.6,4,5.7,1.2,0.4,2.9,3,23.6
"54",176,"Melvin Frazier","SG",25,"OKC",3,0,120,3.9,14.4,0.271,0.3,6.3,0.048,3.6,8.1,0.444,1.5,2.1,0.714,1.5,2.4,3.9,0.3,0.3,0,0.9,2.4,9.6
